Time (EDT),AAPL,AMZN,GOOG,MSFT
2024-06-12 13:38:00,217.0559998,186.7850037,178.5200043,439.269989
2024-06-12 13:39:00,217.1352997,186.7599945,178.4850006,439.3399963
2024-06-12 13:40:00,217.2899933,186.75,178.5700073,439.2749939
2024-06-12 13:41:00,217.3800049,186.7200012,178.478302,439.1499939
2024-06-12 13:42:00,217.3800049,186.6900024,178.4600067,439.0400085
2024-06-12 13:43:00,217.0950012,186.6685944,178.3699951,439.0299988
2024-06-12 13:44:00,217.1100006,186.579895,178.3000031,438.8200073
2024-06-12 13:45:00,217.1629028,186.6161957,178.4299927,438.8699951
2024-06-12 13:46:00,217.2277985,186.579895,178.3699951,438.8800049
2024-06-12 13:47:00,217.3200073,186.6000061,178.4100037,438.75
2024-06-12 13:48:00,217.3150024,186.6349945,178.420105,438.9249878
2024-06-12 13:49:00,217.3085022,186.6399994,178.4600067,438.8649902
2024-06-12 13:50:00,217.1900024,186.6546021,178.5001068,438.9500122
2024-06-12 13:51:00,217.1999969,186.5500031,178.4700012,439.0154114
2024-06-12 13:52:00,217.2666931,186.6717072,178.6399994,439.2399902
2024-06-12 13:53:00,217.3300018,186.6799927,178.6300049,439.3999939
2024-06-12 13:54:00,217.3356934,186.7200012,178.6699982,439.5140076
2024-06-12 13:55:00,217.5,186.7899933,178.6799927,439.5700073
2024-06-12 13:56:00,217.4799957,186.8200073,178.6799927,439.6400146
2024-06-12 13:57:00,217.5099945,186.75,178.625,439.5700073
2024-06-12 13:58:00,217.5050049,186.7901001,178.7200012,439.7200012
2024-06-12 13:59:00,217.4850006,186.7964935,178.7149963,439.7200012
2024-06-12 14:00:00,217.1313934,186.5800018,178.6300049,440.1700134
2024-06-12 14:01:00,217.25,186.6618958,178.5599976,440.0921936
2024-06-12 14:02:00,217.7700043,186.8350067,178.4600067,440.4299927
2024-06-12 14:03:00,217.6100006,186.6499939,178.3399963,440.2799988
2024-06-12 14:04:00,217.3200073,186.5399933,178.1399994,439.9200134
2024-06-12 14:05:00,217.2350006,186.5549927,178.1000061,439.8599854
2024-06-12 14:06:00,217.1799927,186.4499969,178.2700043,439.5780945
2024-06-12 14:07:00,217.2400055,186.1799927,178.3600006,439.7000122
2024-06-12 14:08:00,217.5899048,186.3399963,178.2899933,439.6787109
2024-06-12 14:09:00,217.5084991,186.1799927,178.4100037,439.75
2024-06-12 14:10:00,217.7001038,186.1499939,178.3701019,439.8500061
2024-06-12 14:11:00,217.9299927,186.1750031,178.2599945,439.9219971
2024-06-12 14:12:00,217.75,186.1100006,178.2400055,439.8049927
2024-06-12 14:13:00,217.1499939,185.9900055,178.1199951,439.6105957
2024-06-12 14:14:00,217.298996,186.1600037,178.2536011,439.4649963
2024-06-12 14:15:00,217.2700043,186.2599945,178.3099976,439.644989
2024-06-12 14:16:00,217.4600067,186.1649933,178.4499969,439.6300049
2024-06-12 14:17:00,217.7400055,186.1799927,178.4349976,439.7600098
2024-06-12 14:18:00,218.1199951,186.1399994,178.5399933,439.9700012
2024-06-12 14:19:00,218.4225006,185.9550018,178.5,439.7950134
2024-06-12 14:20:00,218.6300049,185.75,178.3399963,439.6650085
2024-06-12 14:21:00,218.8099976,185.5800018,178.4100037,439.6900024
2024-06-12 14:22:00,218.9600067,185.5466003,178.3699951,439.5
2024-06-12 14:23:00,218.8000031,185.4600067,178.3000031,439.2384033
2024-06-12 14:24:00,218.7442932,185.4900055,178.2799988,439.2000122
2024-06-12 14:25:00,218.75,185.4900055,178.3000031,439.1539001
2024-06-12 14:26:00,218.75,185.559906,178.3699951,439.1600037
2024-06-12 14:27:00,219,185.4799957,178.4499969,439.25
2024-06-12 14:28:00,219.0180054,185.7400055,178.6300049,439.3676147
2024-06-12 14:29:00,218.9602051,185.9499969,178.6549988,439.3399963
2024-06-12 14:30:00,218.7550049,186.0200043,178.75,439.2200012
2024-06-12 14:31:00,218.5299988,186.0099945,178.6100006,439
2024-06-12 14:32:00,218.6000061,185.9700012,178.5700073,438.9949951
2024-06-12 14:33:00,218.7149963,185.9499969,178.5388947,438.9450073
2024-06-12 14:34:00,218.8600006,185.9299927,178.4700012,438.7600098
2024-06-12 14:35:00,219.0700073,185.6999969,178.3600006,438.4899902
2024-06-12 14:36:00,219.1296997,185.6399994,178.4100037,438.605011
2024-06-12 14:37:00,219.5899963,185.8399963,178.5399933,439.1600037
2024-06-12 14:38:00,218.9817047,186.0299988,178.7207947,439.5913086
2024-06-12 14:39:00,219.7100067,186.1900024,178.8600006,439.8399963
2024-06-12 14:40:00,219.5700073,185.8200073,178.7299957,439.7080078
2024-06-12 14:41:00,219.6300049,185.8600006,178.7100067,439.7099915
2024-06-12 14:42:00,219.7850037,185.8605957,178.6100006,439.9049988
2024-06-12 14:43:00,219.5601044,185.9049988,178.5800018,439.9500122
2024-06-12 14:44:00,219.4452057,185.6300049,178.3899994,439.8399963
2024-06-12 14:45:00,219.5406952,185.7400055,178.4100037,440.1000061
2024-06-12 14:46:00,219.7738037,185.8278046,178.4799957,440.0299988
2024-06-12 14:47:00,219.8450012,185.8099976,178.3600006,439.7955017
2024-06-12 14:48:00,219.6399994,185.7449951,178.3000031,439.5599976
2024-06-12 14:49:00,219.4898987,185.6849976,178.3000031,439.5
2024-06-12 14:50:00,219.6049957,185.8300018,178.4100037,439.6799927
2024-06-12 14:51:00,219.6699982,185.7834015,178.4400024,439.7999878
2024-06-12 14:52:00,219.4600067,185.6900024,178.4049988,439.626709
2024-06-12 14:53:00,219.2299957,185.7299957,178.3899994,439.25
2024-06-12 14:54:00,219.1100006,185.9299927,178.4907074,439.6799927
2024-06-12 14:55:00,219.3049927,185.9400024,178.5500031,439.9100037
2024-06-12 14:56:00,219.6199951,186.1300049,178.6600037,440.2200012
2024-06-12 14:57:00,219.5670013,185.9799957,178.5599976,440.0549927
2024-06-12 14:58:00,219.8119965,186.0500031,178.7599945,440.4399109
2024-06-12 14:59:00,219.7799988,186.0299988,178.7359924,440.6849976
2024-06-12 15:00:00,219.7599945,186.2299957,178.8200073,440.7999878
2024-06-12 15:01:00,219.8600006,186.4499969,178.9499969,441.0700073
2024-06-12 15:02:00,219.8312988,186.4049988,179.0299988,441.4512939
2024-06-12 15:03:00,219.7304993,186.3549957,178.9799957,441.6499939
2024-06-12 15:04:00,219.5599976,186.5099945,178.9700012,441.5799866
2024-06-12 15:05:00,219.3300018,186.4400024,178.8899994,441.6099854
2024-06-12 15:06:00,219.5406036,186.4499969,178.8200073,441.5299988
2024-06-12 15:07:00,219.6900024,186.4700012,178.8399963,441.8800049
2024-06-12 15:08:00,219.8200073,186.5399933,178.9600067,442
2024-06-12 15:09:00,219.8200073,186.4824982,178.8699951,441.9500122
